Año,Rango Edades,Ini Rango Edades,Fin Rango Edades,Sexo,Total Interurbana,Total Urbana,Total
1998,0-14,0,14,Hombre,178,511,689
1998,0-14,0,14,Mujer,36,92,128
1998,15-17,15,17,Hombre,1408,4765,6173
1998,15-17,15,17,Mujer,164,819,983
1998,18-20,18,20,Hombre,4262,8266,12528
1998,18-20,18,20,Mujer,706,1691,2397
1998,21-24,21,24,Hombre,8230,11008,19238
1998,21-24,21,24,Mujer,1532,2683,4215
1998,25-34,25,34,Hombre,17725,19736,37461
1998,25-34,25,34,Mujer,3622,5075,8697
1998,35-44,35,44,Hombre,12302,11385,23687
1998,35-44,35,44,Mujer,2258,2984,5242
1998,45-54,45,54,Hombre,9250,7907,17157
1998,45-54,45,54,Mujer,1218,1558,2776
1998,55-64,55,64,Hombre,5856,4677,10533
1998,55-64,55,64,Mujer,505,552,1057
1998,65-74,65,74,Hombre,3132,1918,5050
1998,65-74,65,74,Mujer,191,172,363
1998,75-,75,999,Hombre,829,544,1373
1998,75-,75,999,Mujer,45,48,93
1998,,,,Hombre,1370,4601,5971
1998,,,,Mujer,165,845,1010
1998,,,,,74984,91837,166821
1999,0-13,0,13,Hombre,203,558,761
1999,0-13,0,13,Mujer,39,89,128
1999,14-17,14,17,Hombre,1476,4794,6270
1999,14-17,14,17,Mujer,180,820,1000
1999,18-20,18,20,Hombre,4301,8487,12788
1999,18-20,18,20,Mujer,719,1657,2376
1999,21-24,21,24,Hombre,8415,11116,19531
1999,21-24,21,24,Mujer,1744,2811,4555
1999,25-34,25,34,Hombre,17790,19388,37178
1999,25-34,25,34,Mujer,3761,5130,8891
1999,35-44,35,44,Hombre,12229,11569,23798
1999,35-44,35,44,Mujer,2420,3041,5461
1999,45-54,45,54,Hombre,9063,7602,16665
1999,45-54,45,54,Mujer,1262,1567,2829
1999,55-64,55,64,Hombre,5951,4752,10703
1999,55-64,55,64,Mujer,477,589,1066
1999,65-74,65,74,Hombre,3248,2018,5266
1999,65-74,65,74,Mujer,229,208,437
1999,75-,75,999,Hombre,893,576,1469
1999,75-,75,999,Mujer,41,53,94
1999,,,,Hombre,1177,5029,6206
1999,,,,Mujer,190,894,1084
1999,,,,,75808,92748,168556
2000,0-14,0,14,Hombre,175,558,733
2000,0-14,0,14,Mujer,48,87,135
2000,15-17,15,17,Hombre,1300,4706,6006
2000,15-17,15,17,Mujer,173,753,926
2000,18-20,18,20,Hombre,4287,8500,12787
2000,18-20,18,20,Mujer,724,1581,2305
2000,21-24,21,24,Hombre,8245,11525,19770
2000,21-24,21,24,Mujer,1743,2558,4301
2000,25-34,25,34,Hombre,18174,20915,39089
2000,25-34,25,34,Mujer,4000,5347,9347
2000,35-44,35,44,Hombre,12262,12603,24865
