Fecha,Fallecidos
1993-01-01,519.0
1993-02-01,424.0
1993-03-01,509.0
1993-04-01,528.0
1993-05-01,511.0
1993-06-01,521.0
1993-07-01,650.0
1993-08-01,660.0
1993-09-01,552.0
1993-10-01,538.0
1993-11-01,442.0
1993-12-01,524.0
1994-01-01,492.0
1994-02-01,341.0
1994-03-01,437.0
1994-04-01,402.0
1994-05-01,417.0
1994-06-01,431.0
1994-07-01,591.0
1994-08-01,621.0
1994-09-01,504.0
1994-10-01,460.0
1994-11-01,403.0
1994-12-01,516.0
1995-01-01,435.0
1995-02-01,359.0
1995-03-01,459.0
1995-04-01,503.0
1995-05-01,438.0
1995-06-01,455.0
1995-07-01,610.0
1995-08-01,574.0
1995-09-01,547.0
1995-10-01,438.0
1995-11-01,449.0
1995-12-01,484.0
1996-01-01,357.0
1996-02-01,409.0
1996-03-01,411.0
1996-04-01,423.0
1996-05-01,439.0
1996-06-01,499.0
1996-07-01,520.0
1996-08-01,548.0
1996-09-01,486.0
1996-10-01,485.0
1996-11-01,433.0
1996-12-01,473.0
1997-01-01,413.0
1997-02-01,352.0
1997-03-01,480.0
1997-04-01,430.0
1997-05-01,447.0
1997-06-01,445.0
1997-07-01,569.0
1997-08-01,639.0
1997-09-01,480.0
1997-10-01,442.0
1997-11-01,439.0
1997-12-01,468.0
1998-01-01,414.0
1998-02-01,410.0
1998-03-01,458.0
1998-04-01,391.0
1998-05-01,503.0
1998-06-01,523.0
1998-07-01,545.0
1998-08-01,636.0
1998-09-01,522.0
1998-10-01,531.0
1998-11-01,500.0
1998-12-01,524.0
1999-01-01,435.0
1999-02-01,393.0
1999-03-01,430.0
1999-04-01,444.0
1999-05-01,467.0
1999-06-01,425.0
1999-07-01,561.0
1999-08-01,570.0
1999-09-01,531.0
1999-10-01,525.0
1999-11-01,485.0
1999-12-01,472.0
2000-01-01,462.0
2000-02-01,394.0
2000-03-01,440.0
2000-04-01,455.0
2000-05-01,450.0
2000-06-01,468.0
2000-07-01,623.0
2000-08-01,544.0
2000-09-01,491.0
2000-10-01,502.0
2000-11-01,457.0
2000-12-01,490.0
2001-01-01,403.0
2001-02-01,413.0
2001-03-01,418.0
2001-04-01,422.0
2001-05-01,442.0
2001-06-01,487.0
2001-07-01,525.0
2001-08-01,576.0
2001-09-01,453.0
2001-10-01,432.0
2001-11-01,459.0
2001-12-01,487.0
2002-01-01,472.0
2002-02-01,377.0
2002-03-01,429.0
2002-04-01,360.0
2002-05-01,406.0
2002-06-01,471.0
2002-07-01,505.0
2002-08-01,558.0
2002-09-01,437.0
2002-10-01,448.0
2002-11-01,435.0
2002-12-01,449.0
2003-01-01,407.0
2003-02-01,380.0
2003-03-01,398.0
2003-04-01,410.0
2003-05-01,395.0
2003-06-01,490.0
2003-07-01,524.0
2003-08-01,595.0
2003-09-01,444.0
2003-10-01,435.0
2003-11-01,453.0
2003-12-01,468.0
2004-01-01,373.0
2004-02-01,335.0
2004-03-01,361.0
2004-04-01,388.0
2004-05-01,400.0
2004-06-01,428.0
2004-07-01,459.0
2004-08-01,459.0
2004-09-01,364.0
2004-10-01,455.0
2004-11-01,345.0
2004-12-01,374.0
2005-01-01,344.0
2005-02-01,341.0
2005-03-01,365.0
2005-04-01,340.0
2005-05-01,372.0
2005-06-01,402.0
2005-07-01,443.0
2005-08-01,414.0
2005-09-01,363.0
2005-10-01,372.0
2005-11-01,324.0
2005-12-01,362.0
2006-01-01,375.0
2006-02-01,282.0
2006-03-01,339.0
2006-04-01,368.0
2006-05-01,367.0
2006-06-01,352.0
2006-07-01,380.0
2006-08-01,331.0
2006-09-01,350.0
2006-10-01,317.0
2006-11-01,319.0
2006-12-01,324.0
2007-01-01,286.0
2007-02-01,264.0
2007-03-01,351.0
2007-04-01,303.0
2007-05-01,324.0
2007-06-01,313.0
2007-07-01,385.0
2007-08-01,363.0
2007-09-01,361.0
2007-10-01,337.0
2007-11-01,239.0
2007-12-01,297.0
2008-01-01,265.0
2008-02-01,235.0
2008-03-01,241.0
2008-04-01,247.0
2008-05-01,265.0
2008-06-01,261.0
2008-07-01,311.0
2008-08-01,302.0
2008-09-01,229.0
2008-10-01,268.0
2008-11-01,241.0
2008-12-01,235.0
2009-01-01,222.0
2009-02-01,208.0
2009-03-01,233.0
2009-04-01,201.0
2009-05-01,237.0
2009-06-01,244.0
2009-07-01,259.0
2009-08-01,274.0
2009-09-01,205.0
2009-10-01,223.0
2009-11-01,193.0
2009-12-01,215.0
2010-01-01,197.0
2010-02-01,148.0
2010-03-01,174.0
2010-04-01,172.0
2010-05-01,211.0
2010-06-01,202.0
2010-07-01,251.0
2010-08-01,258.0
2010-09-01,221.0
2010-10-01,242.0
2010-11-01,206.0
2010-12-01,196.0
2011-01-01,159.0
2011-02-01,142.0
2011-03-01,142.0
2011-04-01,156.0
2011-05-01,185.0
2011-06-01,148.0
2011-07-01,222.0
2011-08-01,216.0
2011-09-01,186.0
2011-10-01,169.0
2011-11-01,173.0
2011-12-01,162.0
2012-01-01,147.0
2012-02-01,141.0
2012-03-01,154.0
2012-04-01,144.0
2012-05-01,157.0
2012-06-01,174.0
2012-07-01,161.0
2012-08-01,190.0
2012-09-01,202.0
2012-10-01,147.0
2012-11-01,135.0
2012-12-01,151.0
2013-01-01,131.0
2013-02-01,137.0
2013-03-01,124.0
2013-04-01,124.0
2013-05-01,105.0
2013-06-01,138.0
2013-07-01,163.0
2013-08-01,171.0
2013-09-01,159.0
2013-10-01,154.0
2013-11-01,130.0
2013-12-01,144.0
2014-01-01,113.0
2014-02-01,99.0
2014-03-01,132.0
2014-04-01,141.0
2014-05-01,123.0
2014-06-01,153.0
2014-07-01,153.0
2014-08-01,156.0
2014-09-01,162.0
2014-10-01,143.0
2014-11-01,158.0
2014-12-01,155.0
2015-01-01,119.0
2015-02-01,113.0
2015-03-01,113.0
2015-04-01,116.0
2015-05-01,157.0
2015-06-01,129.0
2015-07-01,174.0
2015-08-01,164.0
2015-09-01,178.0
2015-10-01,130.0
2015-11-01,150.0
2015-12-01,146.0
2016-01-01,147.0
2016-02-01,136.0
2016-03-01,153.0
2016-04-01,132.0
2016-05-01,132.0
2016-06-01,145.0
2016-07-01,191.0
2016-08-01,188.0
2016-09-01,155.0
2016-10-01,141.0
2016-11-01,146.0
2016-12-01,144.0
2017-01-01,122.0
2017-02-01,131.0
2017-03-01,140.0
2017-04-01,141.0
2017-05-01,130.0
2017-06-01,169.0
2017-07-01,182.0
2017-08-01,152.0
2017-09-01,163.0
2017-10-01,193.0
2017-11-01,157.0
2017-12-01,150.0
2018-01-01,148.0
2018-02-01,137.0
2018-03-01,124.0
2018-04-01,119.0
2018-05-01,127.0
2018-06-01,161.0
2018-07-01,190.0
2018-08-01,181.0
2018-09-01,159.0
2018-10-01,174.0
