Provincias,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total,CodProvincia
Álava,883.0,910.0,871.0,1039.0,924.0,1149.0,1118.0,1120.0,534.0,1339.0,1357.0,1209.0,443.0,444.0,456.0,836.0,694.0,397.0,834.0,910.0,906.0,918.0,912.0,1006.0,998.0,1044.0,1029.0,24280.0,01
Albacete,654.0,708.0,736.0,773.0,675.0,864.0,855.0,910.0,855.0,942.0,888.0,904.0,1027.0,923.0,936.0,762.0,558.0,484.0,415.0,497.0,481.0,616.0,605.0,690.0,711.0,708.0,702.0,19879.0,02
Alicante,2165.0,2066.0,2067.0,2118.0,1902.0,2495.0,2714.0,2815.0,2540.0,2368.0,2405.0,2478.0,2260.0,2669.0,2442.0,1989.0,1800.0,1718.0,2488.0,2018.0,2465.0,2602.0,2708.0,3028.0,2954.0,3021.0,2853.0,65148.0,03
Almería,593.0,579.0,652.0,764.0,731.0,889.0,850.0,828.0,904.0,822.0,850.0,905.0,1121.0,1099.0,1124.0,942.0,816.0,691.0,754.0,850.0,788.0,691.0,733.0,713.0,1190.0,1194.0,1092.0,23165.0,04
Ávila,340.0,316.0,338.0,359.0,430.0,448.0,477.0,493.0,449.0,550.0,543.0,545.0,522.0,487.0,625.0,550.0,444.0,481.0,471.0,348.0,378.0,464.0,457.0,442.0,385.0,382.0,336.0,12060.0,05
Badajoz,752.0,798.0,747.0,806.0,852.0,984.0,1036.0,1029.0,984.0,1069.0,1134.0,1052.0,1031.0,950.0,1070.0,872.0,873.0,863.0,884.0,812.0,755.0,925.0,880.0,889.0,1013.0,951.0,881.0,24892.0,06
Balears (Illes),2220.0,2301.0,3102.0,2912.0,2713.0,3358.0,3337.0,3466.0,3210.0,2807.0,3141.0,2915.0,2567.0,2082.0,2236.0,2116.0,1821.0,2240.0,2003.0,2164.0,3431.0,3229.0,3460.0,3821.0,3783.0,3450.0,3356.0,77241.0,07
Barcelona,15844.0,15447.0,15680.0,15985.0,16796.0,18506.0,18620.0,18230.0,18054.0,16913.0,16470.0,15873.0,16487.0,18207.0,19232.0,18420.0,18364.0,18107.0,17342.0,17836.0,18402.0,18473.0,19625.0,20910.0,20986.0,20862.0,20591.0,486262.0,08
Burgos,1015.0,1036.0,1224.0,1276.0,1232.0,1096.0,1170.0,1091.0,1220.0,1299.0,1192.0,1125.0,926.0,848.0,738.0,786.0,812.0,888.0,876.0,799.0,836.0,747.0,788.0,845.0,807.0,749.0,638.0,26059.0,09
Cáceres,384.0,343.0,395.0,365.0,386.0,536.0,512.0,560.0,559.0,628.0,569.0,590.0,656.0,672.0,724.0,681.0,594.0,579.0,481.0,472.0,506.0,472.0,518.0,419.0,478.0,504.0,531.0,14114.0,10
Cádiz,1909.0,1774.0,2094.0,1881.0,1886.0,2395.0,2217.0,2032.0,2527.0,2648.0,3228.0,3289.0,3526.0,3688.0,3344.0,2935.0,2920.0,3026.0,2474.0,2261.0,2318.0,2709.0,3080.0,2757.0,2869.0,2556.0,2765.0,71108.0,11
Castellón,868.0,968.0,1114.0,1113.0,1093.0,1146.0,1163.0,1219.0,1133.0,1095.0,1071.0,1067.0,1236.0,1149.0,1202.0,973.0,899.0,781.0,704.0,707.0,689.0,672.0,708.0,786.0,809.0,885.0,878.0,26128.0,12
Ciudad Real,728.0,876.0,839.0,781.0,865.0,1010.0,1077.0,1073.0,1188.0,1246.0,1219.0,1077.0,1053.0,864.0,835.0,653.0,613.0,641.0,556.0,484.0,586.0,635.0,640.0,675.0,563.0,500.0,463.0,21740.0,13
Córdoba,1412.0,1368.0,1261.0,1255.0,1367.0,1512.0,1291.0,1267.0,1169.0,1223.0,1188.0,1140.0,1185.0,1063.0,1062.0,804.0,892.0,890.0,1138.0,1144.0,1323.0,1418.0,1491.0,1359.0,1170.0,1077.0,1142.0,32611.0,14
Coruña (A),2022.0,2073.0,2159.0,1916.0,1909.0,2529.0,2729.0,2382.0,2175.0,1942.0,2199.0,1953.0,1735.0,1796.0,1512.0,1025.0,947.0,1038.0,916.0,1077.0,1256.0,1114.0,1443.0,1978.0,1876.0,1752.0,1816.0,47269.0,15
Cuenca,478.0,495.0,525.0,602.0,508.0,605.0,667.0,632.0,652.0,724.0,750.0,638.0,617.0,600.0,603.0,516.0,438.0,479.0,404.0,367.0,374.0,362.0,316.0,294.0,282.0,250.0,271.0,13449.0,16
