Años,Total,Fallecidos,Heridos hospitalizados,Heridos no hospitalizados
1993,123571.0,6378.0,36828.0,80365.0
1994,119331.0,5615.0,33991.0,79725.0
1995,127183.0,5751.0,35599.0,85833.0
1996,129640.0,5483.0,33899.0,90258.0
1997,130851.0,5604.0,33915.0,91332.0
1998,147334.0,5957.0,34664.0,106713.0
1999,148632.0,5738.0,31883.0,111011.0
2000,155557.0,5776.0,27764.0,122017.0
2001,155116.0,5517.0,26566.0,123033.0
2002,152264.0,5347.0,26156.0,120761.0
2003,156034.0,5399.0,26305.0,124330.0
2004,143124.0,4741.0,21805.0,116578.0
2005,137251.0,4442.0,21859.0,110950.0
2006,147554.0,4104.0,21382.0,122068.0
2007,146344.0,3823.0,19295.0,123226.0
2008,134047.0,3100.0,16488.0,114459.0
2009,127680.0,2714.0,13923.0,111043.0
2010,122823.0,2478.0,11995.0,108350.0
2011,117687.0,2060.0,11347.0,104280.0
2012,117793.0,1903.0,10444.0,105446.0
2013,126400.0,1680.0,10086.0,114634.0
2014,128320.0,1688.0,9574.0,117058.0
2015,136144.0,1689.0,9495.0,124960.0
2016,142200.0,1810.0,9755.0,130635.0
2017,140992.0,1830.0,9546.0,129616.0
2018,140415.0,1806.0,8935.0,129674.0
2019,141113.0,1755.0,8613.0,130745.0
